verse_key,eng
2KI.9.26,"Yesterday I saw Naboths blood and his sons blood, declares the LORD. I swear that I will pay you back on this very plot of ground, declares the LORD. Now pick him up, and throw him on that plot of ground, in agreement with the LORDs word."
2KI.9.27,"Judahs King Ahaziah saw this and fled on the road to Beth-haggan. Jehu chased after him. Do the same to him! he commanded. They shot him in his chariot on the way up to Gur, near Ibleam. Ahaziah fled to Megiddo and died there."
2KI.9.28,His servants carried him back in a chariot to Jerusalem. He was buried in his tomb with his ancestors in Davids City.
2KI.9.29,Ahaziah had become Judahs king in the eleventh year of Ahabs son Joram.
2KI.9.3,"Take the jug of oil and pour it on his head. Then say, This is what the LORD has said: I anoint you king of Israel. Then open the door, and run out of there without stopping."
2KI.9.30,"Jehu then went to Jezreel. When Jezebel heard of it, she put on her eye shadow and arranged her hair. She looked down out of the window."
2KI.9.31,"When Jehu came through the gate, she said, Do you come in peace, Zimri, you master murderer."
2KI.9.32,"Jehu looked up to the window and said, Whos on my side? Anyone? Two or three high officials looked down at him."
2KI.9.33,"Then he said, Throw her out! So they threw her out of the window. Some of her blood splattered against the wall and on the horses, and they trampled her."
2KI.9.34,"Jehu then went in to eat and drink. He said, Deal with this cursed woman and bury her. She was, after all, a kings daughter."
2KI.9.35,"They went to bury her, but they couldnt find her body. Only her skull was left, along with her hands and feet."
2KI.9.36,"They went back and reported this to Jehu. He said, This is the LORDs word spoken through his servant Elijah from Tishbe: Dogs will devour Jezebels flesh in the area of Jezreel."
2KI.9.37,"Jezebels corpse will be like dung spread out in a field in that plot of land in Jezreel, so no one will be able to say, This was Jezebel."
2KI.9.4,So the young prophet went to Ramoth-gilead.
2KI.9.5,"He came in, and the military commanders were sitting right there. He said, Commander, I have a word for you. For which one of us? Jehu asked. The young prophet said, For you, Commander."
2KI.9.6,"So Jehu got up and went inside. The prophet then poured oil on his head and said to him, This is what the LORD, Israels God, says: I anoint you king over the LORDs people, over Israel."
2KI.9.7,You will strike down your master Ahabs family. In this way I will take revenge for the violence done by Jezebel to my servants the prophets and to all the LORDs servants.
2KI.9.8,"Ahabs whole family will die. I will eliminate from Ahab everyone who urinates on a wall, whether slave or free, in Israel."
2KI.9.9,"I will make Ahabs dynasty like the dynasty of Jeroboam, Nebats son, and like the dynasty of Baasha, Ahijahs son."
2PE.1.1,"From Simon Peter, a slave and apostle of Jesus Christ. To those who received a faith equal to ours through the justice of our God and savior Jesus Christ."
2PE.1.10,"Therefore, brothers and sisters, be eager to confirm your call and election. Do this and you will never ever be lost."
2PE.1.11,In this way you will receive a rich welcome into the everlasting kingdom of our Lord and savior Jesus Christ.
2PE.1.12,"So Ill keep reminding you about these things, although you already know them and stand secure in the truth you have."
2PE.1.13,"I think its right that I keep stirring up your memory, as long as Im alive."
2PE.1.14,"After all, our Lord Jesus Christ has shown me that I am about to depart from this life."
2PE.1.15,Im eager for you always to remember these things after my death.
2PE.1.16,"We didnt repeat crafty myths when we told you about the powerful coming of our Lord Jesus Christ. Quite the contrary, we witnessed his majesty with our own eyes."
2PE.1.17,"He received honor and glory from God the Father when a voice came to him from the magnificent glory, saying, This is my dearly loved Son, with whom I am well-pleased."
2PE.1.18,We ourselves heard this voice from heaven while we were with him on the holy mountain.
2PE.1.19,"In addition, we have a most reliable prophetic word, and you would do well to pay attention to it, just as you would to a lamp shining in a dark place, until the day dawns and the morning star rises in your hearts."
2PE.1.2,May you have more and more grace and peace through the knowledge of God and Jesus our Lord.
2PE.1.20,"Most important, you must know that no prophecy of scripture represents the prophets own understanding of things."
2PE.1.21,"because no prophecy ever came by human will. Instead, men and women led by the Holy Spirit spoke from God."
2PE.1.3,By his divine power the Lord has given us everything we need for life and godliness through the knowledge of the one who called us by his own honor and glory.
2PE.1.4,"Through his honor and glory he has given us his precious and wonderful promises, that you may share the divine nature and escape from the worlds immorality that sinful craving produces."
2PE.1.5,"This is why you must make every effort to add moral excellence to your faith; and to moral excellence, knowledge."
2PE.1.6,"and to knowledge, self-control; and to self-control, endurance; and to endurance, godliness."
2PE.1.7,"and to godliness, affection for others; and to affection for others, love."
2PE.1.8,"If all these are yours and they are growing in you, theyll keep you from becoming inactive and unfruitful in the knowledge of our Lord Jesus Christ."
2PE.1.9,"Whoever lacks these things is shortsighted and blind, forgetting that they were cleansed from their past sins."
2PE.2.1,"But false prophets also arose among the people. In the same way, false teachers will come among you. They will introduce destructive opinions and deny the master who bought them, bringing quick destruction on themselves."
2PE.2.10,"This is especially true for those who follow after the corrupt cravings of the sinful nature and defy the Lords authority. These reckless, brash people arent afraid to insult the glorious ones."
2PE.2.11,"yet angels, who are stronger and more powerful, dont use insults when pronouncing the Lords judgment on them."
2PE.2.12,"These false teachers are like irrational animals, mere creatures of instinct, born to be captured and destroyed. They slander what they dont understand and, like animals, they will be destroyed."
2PE.2.13,"In this way, they will receive payment for their wrongdoing. They even enjoy unruly parties in broad daylight. They are blots and blemishes, taking delight in their seductive pleasures while feasting with you."
2PE.2.14,They are always looking for someone with whom to commit adultery. They are always on the lookout for opportunities to sin. They ensnare people whose faith is weak. They have hearts trained in greed. They are under Gods curse.
2PE.2.15,"Leaving the straight path, they have gone off course, following the way of Balaam son of Bosor, who loved the payment of doing wrong."
2PE.2.16,"But Balaam was rebuked for his wrongdoing. A donkey, which has no voice, spoke with a human voice and put a stop to the prophets madness."
2PE.2.17,"These false teachers are springs without water, mists driven by the wind. The underworld has been reserved for them."
2PE.2.18,"With empty, self-important speech, they use sinful cravings and unrestrained immorality to ensnare people who have only just escaped life with those who have wandered from the truth."
2PE.2.19,"These false teachers promise freedom, but they themselves are slaves of immorality; whatever overpowers you, enslaves you."
2PE.2.2,"Many will follow them in their unrestrained immorality, and because of these false teachers the way of truth will be slandered."
2PE.2.20,"If people escape the moral filth of this world through the knowledge of our Lord and savior Jesus Christ, then get tangled up in it again and are overcome by it, they are worse off than they were before."
2PE.2.21,"It would be better for them never to have known the way of righteousness than, having come to know it, to turn back from the holy commandment entrusted to them."
2PE.2.22,"They demonstrate the truth of the proverb: A dog returns to its own vomit, and a washed sow wallows in the mud."
2PE.2.3,"In their greed they will take advantage of you with lies. The judgment pronounced against them long ago hasnt fallen idle, nor is their destruction sleeping."
2PE.2.4,"God didnt spare the angels when they sinned but cast them into the lowest level of the underworld and committed them to chains of darkness, keeping them there until the judgment."
2PE.2.5,"And he didnt spare the ancient world when he brought a flood on the world of ungodly people, even though he protected Noah, a preacher of righteousness, along with seven others."
2PE.2.6,"God condemned the cities of Sodom and Gomorrah to total destruction, reducing them to ashes as a warning to ungodly people."
2PE.2.7,"And he rescued righteous Lot, who was made miserable by the unrestrained immorality of unruly people. ."
2PE.2.8,While that righteous man lived among them he felt deep distress every day on account of the immoral actions he saw and heard.
2PE.2.9,"These things show that the Lord knows how to rescue the godly from their trials, and how to keep the unrighteous for punishment on the Judgment Day."
2PE.3.1,"My dear friends, this is now my second letter to you. I have written both letters to stir up your sincere understanding with a reminder."
2PE.3.10,"But the day of the Lord will come like a thief. On that day the heavens will pass away with a dreadful noise, the elements will be consumed by fire, and the earth and all the works done on it will be exposed."
2PE.3.11,"Since everything will be destroyed in this way, what sort of people ought you to be? You must live holy and godly lives."
2PE.3.12,"waiting for and hastening the coming day of God. Because of that day, the heavens will be destroyed by fire and the elements will melt away in the flames."
2PE.3.13,"But according to his promise we are waiting for a new heaven and a new earth, where righteousness is at home."
2PE.3.14,"Therefore, dear friends, while you are waiting for these things to happen, make every effort to be found by him in peace—pure and faultless."
2PE.3.15,"Consider the patience of our Lord to be salvation, just as our dear friend and brother Paul wrote to you according to the wisdom given to him."
2PE.3.16,"speaking of these things in all his letters. Some of his remarks are hard to understand, and people who are ignorant and whose faith is weak twist them to their own destruction, just as they do the other scriptures."
2PE.3.17,"Therefore, dear friends, since you have been warned in advance, be on guard so that you arent led off course into the error of sinful people, and lose your own safe position."
2PE.3.18,"Instead, grow in the grace and knowledge of our Lord and savior Jesus Christ. To him belongs glory now and forever. Amen."
2PE.3.2,I want you to recall what the holy prophets foretold as well as what the Lord and savior commanded through your apostles.
2PE.3.3,"Most important, know this: in the last days scoffers will come, jeering, living by their own cravings."
2PE.3.4,"and saying, Where is the promise of his coming? After all, nothing has changed—not since the beginning of creation, nor even since the ancestors died."
2PE.3.5,"But they fail to notice that, by Gods word, heaven and earth were formed long ago out of water and by means of water."
2PE.3.6,And it was through these that the world of that time was flooded and destroyed.
2PE.3.7,"But by the same word, heaven and earth are now held in reserve for fire, kept for the Judgment Day and destruction of ungodly people."
2PE.3.8,"Dont let it escape your notice, dear friends, that with the Lord a single day is like a thousand years and a thousand years are like a single day."
2PE.3.9,"The Lord isnt slow to keep his promise, as some think of slowness, but he is patient toward you, not wanting anyone to perish but all to change their hearts and lives."
2SA.1.1,"After Sauls death, when David had returned from defeating the Amalekites, he stayed in Ziklag two days."
2SA.1.10,"So I went over to him and killed him, because I knew he couldnt survive after being wounded like that. I took the crown that was on his head and the bracelet that was on his arm, and Ive brought them here to you, my master."
2SA.1.11,Then David grabbed his clothes and ripped them—and all his soldiers did the same.
2SA.1.12,"They mourned and cried and fasted until evening for Saul, his son Jonathan, the LORDs army, and the whole house of Israel, because they had died by the sword."
2SA.1.13,"Where are you from? David asked the young man who brought him the news. Im the son of an immigrant, he answered. An Amalekite."
2SA.1.14,"Then David said to him, How is it that you werent afraid to raise your hand and destroy the LORDs anointed."
2SA.1.15,"Then David called for one of the young servants. Come here! he said. Strike him down! So the servant struck the Amalekite down, and he died."
2SA.1.16,"Your blood is on your own head, David said to the Amalekite, because your own mouth testified against you when you admitted, I killed the LORDs anointed."
2SA.1.17,Then David sang this funeral song for Saul and his son Jonathan.
2SA.1.18,David ordered everyone in Judah to learn the Song of the Bow.
2SA.1.19,"Oh, no, Israel! Your prince lies dead on your heights. Look how the mighty warriors have fallen!."
2SA.1.2,"On the third day, a man showed up from Sauls camp with his clothes torn and dirt on his head. When he reached David, he fell to the ground, bowing low out of respect."
2SA.1.20,"Dont talk about it in Gath; dont bring news of it to Ashkelons streets, or else the Philistines daughters will rejoice; the daughters of the uncircumcised will celebrate."
2SA.1.21,"You hills of Gilboa! Let there be no dew or rain on you, and no fields yielding grain offerings. Because it was there that the mighty warriors shield was defiled— the shield of Saul!—never again anointed with oil."
2SA.1.22,"Jonathans bow never wavered from the blood of the slain, from the gore of the warriors. Never did Sauls sword return empty."
2SA.1.23,"Saul and Jonathan! So well loved, so dearly cherished! In their lives and in their deaths they were never separated. They were faster than eagles, stronger than lions!."
2SA.1.24,"Daughters of Israel, weep over Saul! He dressed you in crimson with jewels; he decorated your clothes with gold jewelry."
2SA.1.25,Look how the mighty warriors have fallen in the midst of battle! Jonathan lies dead on your heights.
2SA.1.26,"I grieve for you, my brother Jonathan! You were so dear to me! Your love was more amazing to me than the love of women."
2SA.1.27,Look how the mighty warriors have fallen! Look how the weapons of war have been destroyed!.
2SA.1.3,Where have you come from? David asked him. Ive escaped from the Israelite army! he answered.
2SA.1.4,"Whats the report? David asked him. Tell me! The man answered, The troops fled from the battle! Many of the soldiers have fallen and died. Whats more, Saul and his son Jonathan have also died."
2SA.1.5,"How do you know, David asked the young man who brought the news, that Saul and his son Jonathan are dead."
2SA.1.6,"The young man who brought the news replied, I just happened to be on Mount Gilboa and Saul was there, leaning on his spear, with chariots and horsemen closing in on him."
2SA.1.7,"He turned around and saw me, then he called to me. Yes, sir, I answered."
2SA.1.8,"Who are you? he asked, and I told him, Im an Amalekite."
2SA.1.9,"He said to me, Please come over here and kill me, because convulsions have come over me but Im still alive."
2SA.10.1,"Some time later, the king of the Ammonites died, and his son Hanun succeeded him as king."
2SA.10.10,"The rest of the army Joab placed under the command of his brother Abishai. When they took up their positions to meet the Ammonites, Joab said."
2SA.10.11,"If the Arameans prove too strong for me, you must help me, and if the Ammonites prove too strong for you, Ill help you."
2SA.10.12,Be brave! We must be courageous for the sake of our people and the cities of our God. The LORD will do what is good in his eyes.
2SA.10.13,"When Joab and the troops who were with him advanced into battle against the Arameans, they fled from him."
2SA.10.14,"When the Ammonites saw that the Arameans had fled, they also fled from Abishai and retreated to the city. Then Joab returned from fighting the Ammonites and went to Jerusalem."
2SA.10.15,"The Arameans saw that they had been defeated by Israel, so they regrouped."
2SA.10.16,Hadadezer sent for Arameans from beyond the Euphrates River. They came to Helam with Shobach leading them as commander of Hadadezers army.
2SA.10.17,"When this was reported to David he gathered all Israel, crossed the Jordan, and went to Helam. The Arameans formed battle lines against David and fought with him."
2SA.10.18,"But the Arameans fled before Israel, and David destroyed seven hundred of their chariots and forty thousand horsemen. David wounded their army commander Shobach, and he died there."
2SA.10.19,"When all the kings who served Hadadezer saw that they were defeated by Israel, they made peace with Israel and became their subjects. Never again would the Arameans come to the aid of the Ammonites."
2SA.10.2,"David said, Ill be loyal to Nahashs son Hanun, just as his father was loyal to me. So David sent his servants with condolences concerning Hanuns father. But when Davids servants arrived in Ammonite territory."
2SA.10.3,"the Ammonite officials asked their master Hanun, Do you really believe David is honoring your father because he has sent you condolences? Of course not! David has sent his servants to you to search the city, spy it out, and overthrow it."
2SA.10.4,"So Hanun seized Davids servants and shaved off their beards, cut off half their garments, from their buttocks down, and sent them off."
2SA.10.5,"When this was reported to David, he sent men to meet them because they were completely ashamed. The king said, Stay in Jericho until your beards have grown. Then you can come back."
2SA.10.6,"When the Ammonites realized that they had offended David, they sent for and hired the Arameans of Beth-rehob and the Arameans of Zobah, totaling twenty thousand foot soldiers; the king of Maacah with one thousand soldiers; and twelve thousand soldiers from Tob."
2SA.10.7,"When David heard this, he sent Joab with the entire army of warriors."
2SA.10.8,The Ammonites marched out and formed a battle line at the entrance to the city. The Arameans of Zobah and Rehob and the soldiers from Tob and Maacah remained in the countryside.
2SA.10.9,"When Joab saw that the battle would be fought on two fronts, he chose some of Israels finest warriors and deployed them to meet the Arameans."
2SA.11.1,"In the spring, when kings go off to war, David sent Joab, along with his servants and all the Israelites, and they destroyed the Ammonites, attacking the city of Rabbah. But David remained in Jerusalem."
2SA.11.10,"David was told, Uriah didnt go down to his own house, so David asked Uriah, Havent you just returned from a journey? Why didnt you go home."
2SA.11.11,"The chest and Israel and Judah are all living in tents, Uriah told David. And my master Joab and my masters troops are camping in the open field. How could I go home and eat, drink, and have sex with my wife? I swear on your very life, I will not do that."
2SA.11.12,"Then David told Uriah, Stay here one more day. Tomorrow Ill send you back. So Uriah stayed in Jerusalem that day. The next day."
2SA.11.13,"David called for him, and he ate and drank, and David got him drunk. In the evening Uriah went out to sleep in the same place, alongside his masters servants, but he did not go down to his own home."
2SA.11.14,The next morning David wrote a letter to Joab and sent it with Uriah.
2SA.11.15,"He wrote in the letter, Place Uriah at the front of the fiercest battle, and then pull back from him so that he will be struck down and die."
2SA.11.16,"So as Joab was attacking the city, he put Uriah in the place where he knew there were strong warriors."
2SA.11.17,"When the citys soldiers came out and attacked Joab, some of the people from Davids army fell. Uriah the Hittite was also killed."
2SA.11.18,Joab sent a complete report of the battle to David.
2SA.11.19,"When you have finished reporting all the news of the battle to the king, Joab instructed the messenger."
2SA.11.2,"One evening, David got up from his couch and was pacing back and forth on the roof of the palace. From the roof he saw a woman bathing; the woman was very beautiful."
2SA.11.20,"if the king gets angry and asks you, Why did you go so close to the city to fight? didnt you know they would shoot from the wall?."
2SA.11.21,Who killed Jerubbaals son Abimelech? didnt a woman throw an upper millstone on top of him from the wall so that he died in Thebez? Why did you go so close to the wall? then say: Your servant Uriah the Hittite is dead too.
2SA.11.22,"So the messenger set off, and when he arrived he reported to David everything Joab sent him to say."
2SA.11.23,"The men overpowered us, the messenger told David. They came out against us in the open field, but we fought against them up to the entrance of the city gate."
2SA.11.24,Archers shot down on your servants from the wall. Some of the kings servants died. And your servant Uriah the Hittite is dead too.
2SA.11.25,"David said to the messenger, Say this to Joab: Dont be upset about this because the sword is that way: taking the life of this person or that person. Continue attacking the city and destroy it! Encourage Joab."
2SA.11.26,"When Uriahs wife heard that her husband Uriah was dead, she mourned for her husband."
2SA.11.27,"After the time of mourning was over, David sent for her and brought her back to his house. She became his wife and bore him a son. But what David had done was evil in the LORDs eyes."
2SA.11.3,"David sent someone and inquired about the woman. The report came back: Isnt this Eliams daughter Bathsheba, the wife of Uriah the Hittite."
2SA.11.4,"So David sent messengers to take her. When she came to him, he had sex with her. Then she returned home."
2SA.11.5,"The woman conceived and sent word to David. Im pregnant, she said."
2SA.11.6,Then David sent a message to Joab: Send me Uriah the Hittite. So Joab sent Uriah to David.
2SA.11.7,"When Uriah came to him, David asked about the welfare of Joab and the army and how the battle was going."
2SA.11.8,"Then David told Uriah, Go down to your house and wash your feet. Uriah left the palace, and a gift from the king was sent after him."
2SA.11.9,"However, Uriah slept at the palace entrance with all his masters servants. He didnt go down to his own house."
2SA.12.1,"So the LORD sent Nathan to David. When Nathan arrived he said, There were two men in the same city, one rich, one poor."
2SA.12.10,"Because of that, because you despised me and took the wife of Uriah the Hittite as your own, the sword will never leave your own house."
2SA.12.11,"This is what the LORD says: I am making trouble come against you from inside your own family. Before your very eyes I will take your wives away and give them to your friend, and he will have sex with your wives in broad daylight."
2SA.12.12,"You did what you did secretly, but I will do what I am doing before all Israel in the light of day."
2SA.12.13,"Ive sinned against the LORD! David said to Nathan. The LORD has removed your sin, Nathan replied to David. You wont die."
2SA.12.14,"However, because you have utterly disrespected the LORD by doing this, the son born to you will definitely die."
2SA.12.15,"Then Nathan went home. The LORD struck the child that Uriahs wife had borne for David, and he became very sick."
2SA.12.16,David begged God for the boy. He fasted and spent the night sleeping on the ground.
2SA.12.17,"The senior servants of his house approached him to lift him up off the ground, but he refused, and he wouldnt eat with them either."
2SA.12.18,"On the seventh day, the child died. Davids servants were afraid to tell him that the child had died. David wouldnt listen to us when we talked to him while the child was still alive, they said. How can we tell him the child has died? Hell do something terrible."
2SA.12.19,"But when David saw his servants whispering, he realized the child had died. Is the child dead? David asked his servants. Yes, they said, he is dead."
2SA.12.2,The rich man had a lot of sheep and cattle.
2SA.12.20,"Then David rose from the ground, bathed, anointed himself, and changed his clothes. He entered the LORDs house and bowed down. Then he entered his own house. He requested food, which was brought to him, and he ate."
2SA.12.21,"Why are you acting this way? his servants asked. When the child was alive, you fasted and cried and kept watch, but now that the child is dead, you get up and eat food."
2SA.12.22,"David replied, While the child was alive I fasted and wept because I thought, Who knows? The LORD may have mercy on me and let the child live."
2SA.12.23,"But he is dead now. Why should I fast? Can I bring him back again? No. I am going where he is, but he wont come back to me."
2SA.12.24,Then David comforted his wife Bathsheba. He went to her and had sex with her. She gave birth to a son and named him Solomon. The LORD loved him.
2SA.12.25,and sent word by the prophet Nathan to name him Jedidiah because of the LORDs grace.
2SA.12.26,"Meanwhile, Joab fought the Ammonites at Rabbah and captured the royal city."
2SA.12.27,"Joab then sent messengers to David, saying, I have fought against Rabbah and captured the citys water supply."
2SA.12.28,"So gather the rest of the troops, attack the city, and capture it. Otherwise, I will capture the city myself, and it will be named after me."
2SA.12.29,"So David gathered all the troops, marched to Rabbah, fought against it, and captured it."
2SA.12.3,"but the poor man had nothing—just one small ewe lamb that he had bought. He raised that lamb, and it grew up with him and his children. It would eat from his food and drink from his cup—even sleep in his arms! It was like a daughter to him."
2SA.12.30,David took Milcoms crown off his head. It weighed one kikkar of gold and was set with a valuable stone. It was placed on Davids head. The amount of loot David took from the city was huge.
2SA.12.31,"He brought out the people who were in the city and put them to work making bricks. David demolished the city with saws, iron picks, and axes; he did this to all the Ammonite cities. Then David and all the troops returned to Jerusalem."
2SA.12.4,"Now a traveler came to visit the rich man, but he wasnt willing to take anything from his own flock or herd to prepare for the guest who had arrived. Instead, he took the poor mans ewe lamb and prepared it for the visitor."
2SA.12.5,"David got very angry at the man, and he said to Nathan, As surely as the LORD lives, the one who did this is demonic!."
2SA.12.6,He must restore the ewe lamb seven times over because he did this and because he had no compassion.
2SA.12.7,You are that man! Nathan told David. This is what the LORD God of Israel says: I anointed you king over Israel and delivered you from Sauls power.
2SA.12.8,"I gave your masters house to you, and gave his wives into your embrace. I gave you the house of Israel and Judah. If that was too little, I would have given even more."
2SA.12.9,Why have you despised the LORDs word by doing what is evil in his eyes? You have struck down Uriah the Hittite with the sword and taken his wife as your own. You used the Ammonites to kill him.
2SA.13.1,"Some time later, Davids son Amnon fell in love with Tamar the beautiful sister of Absalom, who was also Davids son."
2SA.13.10,"Then Amnon said to Tamar, Bring the food into the bedroom so I can eat from your hand. So Tamar took the heart-shaped cakes she had made and brought them to her brother Amnon in the bedroom."
2SA.13.11,"When she served him the food, he grabbed her and said, Come have sex with me, my sister."
2SA.13.12,"But she said to him, No, my brother! Dont rape me. Such a thing shouldnt be done in Israel. Dont do this horrible thing."
2SA.13.13,"Think about me—where could I hide my shame? And you—you would become like some fool in Israel! Please, just talk to the king! He wont keep me from marrying you."
2SA.13.14,"But Amnon refused to listen to her. He was stronger than she was, and so he raped her."
2SA.13.15,"But then Amnon felt intense hatred for her. In fact, his hatred for her was greater than the love he had felt for her. So Amnon told her, Get out of here."
2SA.13.16,"No, my brother! she said. Sending me away would be worse than the wrong youve already done. But Amnon wouldnt listen to her."
2SA.13.17,"He summoned his young servant and said, Get this woman out of my presence and lock the door after her. ."
2SA.13.18,She was wearing a long-sleeved robe because that was what the virgin princesses wore as garments. So Amnons servant put her out and locked the door after her.
2SA.13.19,"Tamar put ashes on her head and tore the long-sleeved robe she was wearing. She put her hand on her head and walked away, crying as she went."
2SA.13.2,"Amnon was so upset over his half sister that he made himself sick. She was a virgin, and it seemed impossible in Amnons view to do anything to her."
2SA.13.20,"Her brother Absalom said to her, Has your brother Amnon been with you? Keep quiet about it for now, sister; hes your brother. Dont let it bother you. So Tamar, a broken woman, lived in her brother Absaloms house."
2SA.13.21,"When King David heard about all this he got very angry, but he refused to punish his son Amnon because he loved him as his oldest child."
2SA.13.22,"Absalom never spoke to Amnon, good word or bad, because he hated him for raping his sister Tamar."
2SA.13.23,"Two years later, Absalom was shearing sheep at Baal-hazor near Ephraim, and he invited all the kings sons."
2SA.13.24,"Absalom approached the king and said, Your servant is shearing sheep. Would the king and his advisors please join me."
2SA.13.25,"But the king said to Absalom, No, my son. We shouldnt all go, or we would be a burden on you. Although Absalom urged him, the king wasnt willing to go, although he gave Absalom a blessing."
2SA.13.26,"Then Absalom said, If you wont come, then let my brother Amnon go with us. Why should he go with you? they asked him."
2SA.13.27,But Absalom urged him until he sent Amnon and all the other princes. Then Absalom made a banquet fit for a king.
2SA.13.28,"Absalom commanded his servants, Be on the lookout! When Amnon is happy with wine and I tell you to strike Amnon down, then kill him! Dont be afraid, because I myself am giving you the order. Be brave and strong men."
2SA.13.29,"So Absaloms servants did to Amnon just what he had commanded. Then all the princes got up, jumped onto their mules, and fled."
2SA.13.3,"But Amnon had a very clever friend named Jonadab, who was Davids brother Shimeahs son."
2SA.13.30,"While they were on the way, the report came to David: Absalom has killed all of the princes! Not one remains."
2SA.13.31,"The king got up, tore his garments, and lay on the ground. All his servants stood near him, their garments torn as well."
2SA.13.32,"But Jonadab, the son of Davids brother Shimeah, said, My master shouldnt think that all the young princes have been killed—only Amnon is dead. This has been Absaloms plan ever since the day Amnon raped his sister Tamar."
2SA.13.33,"So dont let this bother you, my master; dont think that all the princes are dead, because only Amnon is dead."
2SA.13.34,and Absalom has fled. Just then the young man on watch looked up and saw many people coming on the road behind him alongside the mountain.
2SA.13.35,"Jonadab told the king, Look, the princes are coming, just as I, your servant, said they would."
2SA.13.36,"When Jonadab finished speaking, the princes arrived. They broke into loud crying, and the king and his servants cried hard as well."
2SA.13.37,"Meanwhile, Absalom had fled and gone to Geshurs King Talmai, Ammihuds son. David mourned for his son a long time."
2SA.13.38,"But Absalom, after fleeing to Geshur, stayed there for three years."
2SA.13.39,Then the kings desire to go out after Absalom faded away because he had gotten over Amnons death.
2SA.13.4,"Prince, Jonadab said to him, why are you so down, morning after morning? Tell me about it. So Amnon told him, Im in love with Tamar, the sister of my brother Absalom."
2SA.13.5,"Lie down on your bed and pretend to be sick, Jonadab said to him. When your father comes to see you, tell him, Please let my sister Tamar come and give me some food to eat. Let her prepare the food in my sight so I can watch and eat from her own hand."
2SA.13.6,"So Amnon lay down and pretended to be sick. The king came to see him, and Amnon told the king, Please let my sister Tamar come and make a couple of heart-shaped cakes in front of me so I can eat from her hand."
2SA.13.7,David sent word to Tamar at the palace: Please go to your brother Amnons house and prepare some food for him.
2SA.13.8,"So Tamar went to her brother Amnons house where he was lying down. She took dough, kneaded it, made heart-shaped cakes in front of him, and then cooked them."
2SA.13.9,"She took the pan and served Amnon, but he refused to eat. Everyone leave me, Amnon said. So everyone left him."
2SA.14.1,"Now Joab, Zeruiahs son, could see that the kings mind was on Absalom."
2SA.14.10,"If anyone speaks against you, bring him to me, and he will never trouble you again, the king replied."
2SA.14.11,"She said, Please let the king remember the LORD your God so that the one seeking revenge doesnt add to the destruction and doesnt kill my son. As surely as the LORD lives, David said, not one of your sons hairs will fall to the ground."
2SA.14.12,"Then the woman said, May your female servant say something to my master the king? Speak! he said."
2SA.14.13,"The woman said, Why have you planned the very same thing against Gods people? In giving this order, the king has become guilty because the king hasnt restored his own banished son."
2SA.14.14,"We all have to die—were like water spilled out on the ground that cant be gathered up again. But God doesnt take life away; instead, he makes plans so those banished from him dont stay that way."
2SA.14.15,"I have come to my master the king to talk about this because people have made me afraid. Your servant thought, I must speak with the king. Maybe the king will act on the request of his servant."
2SA.14.16,because the king will agree to deliver his servant from the power of anyone who would destroy both me and my son from the inheritance God gave.
2SA.14.17,"Your servant thought, The word of my master the king will definitely comfort me, because my master the king is like one of Gods messengers, understanding good and evil. May the LORD your God be with you."
2SA.14.18,"The king answered the woman, I must ask you something—dont hide anything from me! The woman said, Please, my master and king, speak."
2SA.14.19,"So the king said, Has Joab put you up to this? The woman answered, As surely as you live, my master and king, no one can deviate a bit from whatever my master and king says. Yes, it was your servant Joab who directed me, and it was Joab who told your female servant to say all these things."
2SA.14.2,"So Joab sent someone to Tekoa and brought a wise woman from there. He said to her, Pretend to be in mourning. Dress in mourning clothes. Dont anoint yourself with oil. Act like a woman who has spent a long time mourning over someone who has died."
2SA.14.20,Your servant Joab did this to change the way things look. But my masters wisdom is like the wisdom of one of Gods own messengers—he knows everything that takes place in the land.
2SA.14.21,"So the king said to Joab, All right then. I will do it. Go and bring back my boy Absalom."
2SA.14.22,"Joab fell facedown, bowing low out of respect, and he blessed the king. Today your servant knows that you think well of me, my master and king, Joab said, because the king has followed up on his servants recommendation."
2SA.14.23,"So Joab got up, went to Geshur, and brought Absalom back to Jerusalem."
2SA.14.24,"The king said, He must go straight to his own house. He must not see my face. So Absalom went straight to his own house and did not see the king."
2SA.14.25,No man throughout Israel was as praised for his good looks as Absalom. From the soles of his feet to the crown of his head there was nothing wrong with him.
2SA.14.26,When he shaved his head—he had to shave his head at the end of each year because his hair was so heavy that he had to shave it—the weight of the hair from his head was two hundred shekels by the royal weight.
2SA.14.27,Absalom had three sons and one daughter. The daughters name was Tamar. She was a beautiful woman.
2SA.14.28,Absalom lived in Jerusalem two years without ever seeing the kings face.
2SA.14.29,"Absalom called for Joab in order to send Joab to the king, but Joab refused to come. Absalom called for Joab a second time, but he still wouldnt come."
2SA.14.3,Go to the king and speak to him as follows. Then Joab told her what to say.
2SA.14.30,"So Absalom said to his servants, Look, Joabs property is next to mine. He has barley there. Go and set it on fire. So Absaloms servants set the property on fire. Then Joabs servants went to Joab with their clothes torn. Absaloms servants set the property on fire, they said."
2SA.14.31,"So Joab went straight to Absaloms house and said to him, Why have your servants set my property on fire."
2SA.14.32,"Absalom answered Joab, Look, I sent you a message: Come here so I can send you to the king to ask, Why have I returned from Geshur? I would be better off if I were still there! Please let me see the kings face. If Im guilty, then the king can kill me."
